num,code,barcode,desc,cat,subcat,source_file
1212,MGE30003,4214000006900,STOOL EXAMINATION,GENERAL,CHAIRS & WHEELCHAIRS,file1
1213,MGE30004,4214000007200,STOOL SWIVEL MOBILE,GENERAL,CHAIRS & WHEELCHAIRS,file1
1214,MGE30005,4227220801200,WALKER PATIENT,GENERAL,CHAIRS & WHEELCHAIRS,file1
1215,MGE30006,4219180003300,WHEELCHAIR BARIATRIC,GENERAL,CHAIRS & WHEELCHAIRS,file1
1216,MGE30006-001,4219220804200,ELEVATING FOOTREST RELATED TO WHEELCHAIR BARIATRIC,GENERAL,CHAIRS & WHEELCHAIRS,file1
1217,MGE30006-002,4219221600800,SEAT CUSHION 5CM RELATED TO WHEELCHAIR BARIATRIC,GENERAL,CHAIRS & WHEELCHAIRS,file1
1218,MGE30009,4219221011200,CHAIR TRANSPORT SIZE 22,GENERAL,CHAIRS & WHEELCHAIRS,file1
2518,MHC20002,4218301100100,BED ELECTRICAL HOME CARE ADULT,HOME CARE,BEDS & MATTRESS,file1
2519,MHC20002-001,4200011814100,ROTATING OVERBED TABLE RELATED TO BED ELECTRICAL HOME CARE ADULT,HOME CARE,BEDS & MATTRESS,file1
2520,MHC20002-002,4200011788000,OVERBED TABLE RELATED TO BED ELECTRICAL HOME CARE ADULT,HOME CARE,BEDS & MATTRESS,file1
2521,MHC20002-003,4200014131700,BACKUP BATTERY RELATED TO BED ELECTRICAL HOME CARE ADULT,HOME CARE,BEDS & MATTRESS,file1
2522,MHC20003,4218301300000,BED ELECTRICAL HOME CARE BARIATRIC,HOME CARE,BEDS & MATTRESS,file1
2523,MHC20003-001,4200011756400,IV POLE RELATED TO BED ELECTRICAL HOME CARE BARIATRIC,HOME CARE,BEDS & MATTRESS,file1
2524,MHC20003-002,4200014131800,BACKUP BATTERY RELATED TO BED ELECTRICAL HOME CARE BARIATRIC,HOME CARE,BEDS & MATTRESS,file1
2525,MHC20013,4219180006000,BED FOLDABLE HOMECARE,HOME CARE,BEDS & MATTRESS,file1
2556,MHC40012,4219180003000,WALKER PATIENT BARIATRIC,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2557,MHC40013,4221150600800,WALKER PEDIATRIC 2 LEVELS CHEST SIZE 11,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2558,MHC40014,4221160600200,WALKER PEDIATRIC 2 LEVELS CHEST SIZE 13,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2559,MHC40015,4221150600700,WALKER PEDIATRIC 2 LEVELS CHEST SIZE 16,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2560,MHC40016,4221160600300,WALKER REVERSE LARGE,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2561,MHC40017,4221160600400,WALKER REVERSE MEDIUM,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2562,MHC40018,4221161000300,WALKER REVERSE SMALL,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2563,MHC40019,4225170601300,WALKER FRONT WHEEL ADULT,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2564,MHC40020,4221150608300,WALKER FOUR WHEEL ADULT,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
2565,MHC40021,4221150400600,STANDING FRAME PEDIATRIC,HOME CARE,WALK & STAND & SEAT SUPPORT,file1
23986,MRH10001,4214180000000,STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23987,MRH10001-001,4200000223900,BATTERY RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23988,MRH10001-002,4200000224000,ELECTRODES SMALL RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23989,MRH10001-003,4200000224100,ELECTRODES MEDIUM RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23990,MRH10001-004,4200000224200,ELECTRODES LARGE RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23991,MRH10001-005,4200000224300,LEAD CABLE RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23992,MRH10001-006,4200000224400,REMOTE CONTROL RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23993,MRH10001-007,4200000224500,CARRYING CASE RELATED TO STIMULATION UNIT FUNCTIONAL ELECTRIC PORTABLE,REHABILITATION,REHABILITATION,file1
23994,MRH10003,4111580001100,ANALYZER GAIT SYSTEM,REHABILITATION,REHABILITATION,file1
23995,MRH10003-001,4200000224600,CARRYING CASE RELATED TO ANALYZER GAIT SYSTEM,REHABILITATION,REHABILITATION,file1
23996,MRH10003-002,4200000224700,LAPTOP RELATED TO ANALYZER GAIT SYSTEM,REHABILITATION,REHABILITATION,file1
23997,MRH10003-003,4200000224800,PRINTER RELATED TO ANALYZER GAIT SYSTEM,REHABILITATION,REHABILITATION,file1
23998,MRH10003-004,4200000224900,VIDEO RECORDING CAMERA RELATED TO ANALYZER GAIT SYSTEM,REHABILITATION,REHABILITATION,file1
23999,MRH10004,4111580001200,ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24000,MRH10004-001,4200000225000,CHARGER RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24001,MRH10004-002,4200000225100,FLAT PAD RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24002,MRH10004-003,4200000225200,CURVED PAD RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24003,MRH10004-004,4200000225300,STRAPS RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24004,MRH10004-005,4200000225400,CARRYING BAG RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24005,MRH10004-006,4200000225500,TABLET RELATED TO ANALYZER MOBILE MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24006,MRH10005,4111580001300,ANALYZER MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24007,MRH10005-001,4200000225600,PRINTER RELATED TO ANALYZER MUSCULAR STRENGTH,REHABILITATION,REHABILITATION,file1
24008,MRH10013,4214220200000,BATH FULL IMMERSION,REHABILITATION,REHABILITATION,file1
24009,MRH10013-001,4200000225700,HEAD SUPPORT RELATED TO BATH FULL IMMERSION,REHABILITATION,REHABILITATION,file1
24010,MRH10013-002,4200000225800,STOOL RELATED TO BATH FULL IMMERSION,REHABILITATION,REHABILITATION,file1
24011,MRH10014,4214211200000,BATH PARAFFIN WITH TABLE,REHABILITATION,REHABILITATION,file1
24012,MRH10014-001,4200000225900,TROLLEY RELATED TO BATH PARAFFIN WITH TABLE,REHABILITATION,REHABILITATION,file1
24013,MRH10014-002,4200000226000,PARAFFIN TANK RELATED TO BATH PARAFFIN WITH TABLE,REHABILITATION,REHABILITATION,file1
24014,MRH10014-003,4200000226100,STAINLESS STEEL RACK RELATED TO BATH PARAFFIN WITH TABLE,REHABILITATION,REHABILITATION,file1
24015,MRH10019,4218231400000,BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24016,MRH10019-001,4200000181700,ALL IN ONE PC RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24017,MRH10019-002,4200000181800,ADHESIVE ELECTODES RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24018,MRH10019-003,4200000181900,RUBBER ELECTRODES RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24019,MRH10019-004,4200000182000,VAGINAL PROBE 1 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24020,MRH10019-005,4200000182100,VAGINAL PROBE 2 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24021,MRH10019-006,4200000182200,VAGINAL PROBE 3 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24022,MRH10019-007,4200000182300,VAGINAL PROBE 4 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24023,MRH10019-008,4200000182400,VAGINAL PROBE 5 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24024,MRH10019-009,4200000182500,VAGINAL PROBE 6 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24025,MRH10019-010,4200000182600,ANAL PROBE 1 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
24026,MRH10019-011,4200000182700,ANAL PROBE 2 RELATED TO BIO FEED BACK UNIT,REHABILITATION,REHABILITATION,file1
